Henvisende kanal,Henvisende medie,Besøgende i webshoppen,Sessioner,"Sessioner, der gennemførte betaling",Dato
google,search,6230,7638,239,01-01-25
facebook,social,4116,4900,138,01-01-25
instagram,social,337,365,11,01-01-25
klaviyo,email/sms,213,263,11,01-01-25
bing,search,167,194,14,01-01-25
unattributed,,53,57,5,01-01-25
yahoo!,search,38,43,1,01-01-25
duckduckgo,search,36,38,3,01-01-25
googlesyndication,,13,26,0,01-01-25
shopify_email,email,20,25,5,01-01-25
youtube,social,17,19,0,01-01-25
shopify,,17,17,0,01-01-25
ecosia,search,12,14,0,01-01-25
syndicatedsearch,,8,11,0,01-01-25
onskeskyen,,2,5,0,01-01-25
office,,3,4,0,01-01-25
gmail,email,3,3,1,01-01-25
chatgpt.com,,3,3,0,01-01-25
startsiden,search,1,2,0,01-01-25
auxo,,2,2,0,01-01-25
chatgpt,,1,2,0,01-01-25
frontapp,,1,1,0,01-01-25
oceanhero,,1,1,0,01-01-25
newsbreak,,1,1,0,01-01-25
haveselskabet,,1,1,0,01-01-25
nbcdfw,,1,1,0,01-01-25
dka3dqtjjog7y,,1,1,0,01-01-25
linkedin,social,0,0,0,01-01-25
android,email,0,0,0,01-01-25
shop_app,,0,0,0,01-01-25
startpage,,0,0,0,01-01-25
android,,0,0,0,01-01-25
weather,,0,0,0,01-01-25
yandex,search,0,0,0,01-01-25
wishlistr,,0,0,0,01-01-25
trustpilot,,0,0,0,01-01-25
google,search,6542,7725,212,02-01-25
facebook,social,3869,4578,94,02-01-25
klaviyo,email/sms,1020,1302,57,02-01-25
instagram,social,244,277,3,02-01-25
bing,search,168,187,6,02-01-25
duckduckgo,search,66,72,2,02-01-25
unattributed,,44,51,0,02-01-25
yahoo!,search,37,47,2,02-01-25
shopify,,39,47,0,02-01-25
shopify_email,email,22,25,4,02-01-25
ecosia,search,11,12,0,02-01-25
googlesyndication,,10,10,0,02-01-25
yandex,search,9,9,0,02-01-25
youtube,social,6,7,0,02-01-25
onskeskyen,,5,7,3,02-01-25
dewit,,5,6,1,02-01-25
gmail,email,5,5,4,02-01-25
pinterest,social,3,4,0,02-01-25
trustpilot,,3,3,0,02-01-25
linkedin,social,2,2,0,02-01-25
krak,,1,1,0,02-01-25
bt,,1,1,0,02-01-25
chatgpt,,1,1,0,02-01-25
syndicatedsearch,,1,1,0,02-01-25
privacywall,,1,1,0,02-01-25
ighome,,1,1,0,02-01-25
ka-net,,1,1,0,02-01-25
